Source,Family,Genera,Species,Individuals Observed,Location,Longitude,Latitude,Country,Usual Pattern,Unusual Pattern,Pattern Notes,Iris color,Lifestage,Citation,Year,Notes
iNat,Dicroglossidae,Hoplobatrachus,Hoplobatrachus rugulosus,1,Vietnam,9.7731921,105.4537082,Vietnam,Green/Brown,Turquoise,Partial body,N/A,Adult,https://www.inaturalist.org/observations/9678656,2018,
News or Social,Hylidae,Hyla,Hyla meridionalis,1,?,,,,,,,,,https://twitter.com/frogs_friends/status/1276813141494697985,,
iNat,Hylidae,Hyla,Hyla meridionalis,1,(private),,,,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/39297523,2018,
iNat,Hylidae,Hyla,Hyla meridionalis,1,(private),,,,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/39297524,2018,
iNat,Hylidae,Hyla,Hyla cinerea,1,"Abita Springs, LA, USA",30.47750056,-90.03666295,Italy,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/58939623,2020,
iNat,Hylidae,Hyla,Hyla cinerea,1,"Alabama , USA",34.96510405,-85.69124979,USA,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/43006918,2020,duplicate record? https://www.inaturalist.org/observations/43008358
iNat,Hylidae,Hyla,Hyla meridionalis,1,"Aubais, France",43.75482178,4.147212029,France,Green,Blue,Partial body,N/A,Juvenile?,https://www.inaturalist.org/observations/76897517,2021,
iNat,Hylidae,Hyla,Hyla meridionalis,1,"Barcelona, Spain",41.49159544,2.022262352,Spain,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/24564306,2018,
iNat,Hylidae,Hyla,Hyla arborea,1,"Briollay, France",47.59042075,-0.46631109,France,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/28953355,2018,
iNat,Hylidae,Hyla,Hyla versicolor - chrysoscelis (complex),1,"Connecticut, USA",41.37356094,-73.33397821,USA,Green,Blue,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/32299255,2019,
iNat,Hylidae,Hyla,Hyla japonica,1,"Dunpo-myeon, South Korea",36.93005521,127.015553,South Korea,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/26994500,2019,
iNat,Hylidae,Hyla,Hyla cinerea,1,"Florida, USA",28.29352744,-81.54277296,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/62267492,2020,
iNat,Hylidae,Hyla,Hyla cinerea ,1,"Florida, USA",28.51009858,-81.07070223,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/26727811,2018,
iNat,Hylidae,Hyla,Hyla cinerea ,1,"Florida, USA",28.63715333,-82.42540833,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/21543583,2019,
